Date ,High_Stationary,HIGH ,lag_1,lag_2
2019-04-01,91.20000000000005,1412.4,123.29999999999995,146.29999999999995
2019-05-01,29.5,1417.5,91.20000000000005,123.29999999999995
2019-06-01,-38.15000000000009,1374.25,29.5,91.20000000000005
2019-07-01,-117.5,1300.0,-38.15000000000009,29.5
2019-08-01,-69.79999999999995,1304.45,-117.5,-38.15000000000009
2019-09-01,35.75,1335.75,-69.79999999999995,-117.5
2019-10-01,185.20000000000005,1489.65,35.75,-69.79999999999995
2019-11-01,248.4000000000001,1584.15,185.20000000000005,35.75
2019-12-01,127.89999999999986,1617.55,248.4000000000001,185.20000000000005
2020-01-01,24.84999999999991,1609.0,127.89999999999986,248.4000000000001
2020-02-01,-109.54999999999995,1508.0,24.84999999999991,127.89999999999986
2020-03-01,-240.0,1369.0,-109.54999999999995,24.84999999999991
2020-04-01,-13.049999999999955,1494.95,-240.0,-109.54999999999995
2020-05-01,246.0,1615.0,-13.049999999999955,-240.0
2020-06-01,309.25,1804.2,246.0,-13.049999999999955
2020-07-01,583.8000000000002,2198.8,309.25,246.0
2020-08-01,391.79999999999995,2196.0,583.8000000000002,309.25
2020-09-01,170.54999999999973,2369.35,391.79999999999995,583.8000000000002
2020-10-01,113.0,2309.0,170.54999999999973,391.79999999999995
2020-11-01,-274.3499999999999,2095.0,113.0,170.54999999999973
2020-12-01,-271.0,2038.0,-274.3499999999999,113.0
2021-01-01,25.0,2120.0,-271.0,-274.3499999999999
2021-02-01,114.0,2152.0,25.0,-271.0
2021-03-01,111.90000000000009,2231.9,114.0,25.0
2021-04-01,-105.09999999999991,2046.9,111.90000000000009,114.0
2021-05-01,-40.20000000000027,2191.7,-105.09999999999991,111.90000000000009
2021-06-01,228.0,2274.9,-40.20000000000027,-105.09999999999991
2021-07-01,-38.149999999999636,2153.55,228.0,-40.20000000000027
2021-08-01,8.849999999999909,2283.75,-38.149999999999636,228.0
2021-09-01,416.4499999999998,2570.0,8.849999999999909,-38.149999999999636
2021-10-01,467.5999999999999,2751.35,416.4499999999998,8.849999999999909
2021-11-01,32.19999999999982,2602.2,467.5999999999999,416.4499999999998
2021-12-01,-252.8499999999999,2498.5,32.19999999999982,467.5999999999999
2022-01-01,-34.899999999999636,2567.3,-252.8499999999999,32.19999999999982
2022-02-01,-42.09999999999991,2456.4,-34.899999999999636,-252.8499999999999
2022-03-01,120.69999999999982,2688.0,-42.09999999999991,-34.899999999999636
2022-04-01,399.75,2856.15,120.69999999999982,-42.09999999999991
2022-05-01,117.5,2805.5,399.75,120.69999999999982
2022-06-01,-38.80000000000018,2817.35,117.5,399.75
2022-07-01,-213.5,2592.0,-38.80000000000018,117.5
2022-08-01,-140.44999999999982,2676.9,-213.5,-38.80000000000018
2022-09-01,37.69999999999982,2629.7,-140.44999999999982,-213.5
2022-10-01,-115.95000000000027,2560.95,37.69999999999982,-140.44999999999982
2022-11-01,115.75,2745.45,-115.95000000000027,37.69999999999982
2022-12-01,194.05000000000018,2755.0,115.75,-115.95000000000027
